Zip Code,Population,Staff Needed,Senior Population (65+),,,,,,,
98604,37333,25,,,,,,,,
98605,1089,1,,,,,,,,
98606,9203,6,,,,,,,,
98607,32897,22,,,,,,,,
98610,3199,2,,,,,,,,
98611,8803,6,,,,,,,,
98612,3201,2,,,,,,,,
98613,407,1,,,,,,,,
98614,142,1,,,,,,,,
98616,103,1,,,,,,,,
98617,1138,1,,,,,,,,
98619,613,1,,,,,,,,
98620,7670,5,,,,,,,,
98621,309,1,,,,,,,,
98624,1889,1,,,,,,,,
98625,6516,4,,,,,,,,
98626,25366,17,,,,,,,,
98628,285,1,,,,,,,,
98629,8761,6,,,,,,,,
98631,3055,2,,,,,,,,
98632,52489,36,,,,,,,,
98635,1586,1,,,,,,,,
98638,1489,1,,,,,,,,
98639,855,1,,,,,,,,
98640,4774,3,,,,,,,,
98641,22,1,,,,,,,,
98642,20920,14,,,,,,,,
98643,355,1,,,,,,,,
98644,481,1,,,,,,,,
98645,1962,1,,,,,,,,
98647,256,1,,,,,,,,
98648,3207,2,,,,,,,,
98649,860,1,,,,,,,,
98650,1144,1,,,,,,,,
98651,1031,1,,,,,,,,
98660,12305,8,,,,,,,,
98661,48485,33,,,,,,,,
98662,33798,23,,,,,,,,
98663,15406,10,,,,,,,,
98664,23601,16,,,,,,,,
98665,27260,18,,,,,,,,
98670,37,1,,,,,,,,
98671,23116,16,,,,,,,,
98672,7256,5,,,,,,,,
98673,544,1,,,,,,,,
98674,14869,10,,,,,,,,
98675,7604,5,,,,,,,,
98682,63768,44,,,,,,,,
98683,31676,21,,,,,,,,
98684,31805,22,,,,,,,,
98685,29788,20,,,,,,,,
98686,20059,13,,,,,,,,
98801,43799,30,,,,,,,,
98802,31626,21,,,,,,,,
98811,187,1,,,,,,,,
98812,5227,3,,,,,,,,
98813,3012,2,,,,,,,,
98814,739,1,,,,,,,,
98815,7210,5,,,,,,,,
98816,6005,4,,,,,,,,
98817,185,1,,,,,,,,
98819,233,1,,,,,,,,
98821,1000,1,,,,,,,,
98822,1798,1,,,,,,,,
98823,11740,8,,,,,,,,
98824,582,1,,,,,,,,
98826,7624,5,,,,,,,,
98827,421,1,,,,,,,,
98828,2046,1,,,,,,,,
98829,451,1,,,,,,,,
98830,492,1,,,,,,,,
98831,3529,2,,,,,,,,
98832,230,1,,,,,,,,
98833,137,1,,,,,,,,
98834,234,1,,,,,,,,
98836,953,1,,,,,,,,
98837,43952,30,,,,,,,,
98840,4571,3,,,,,,,,
98841,9335,6,,,,,,,,
98843,2185,1,,,,,,,,
98844,4428,3,,,,,,,,
98845,266,1,,,,,,,,
98846,1317,1,,,,,,,,
98847,2295,1,,,,,,,,
98848,12427,8,,,,,,,,
98849,1216,1,,,,,,,,
98850,1688,1,,,,,,,,
98851,4783,3,,,,,,,,
98852,20,1,,,,,,,,
98853,14,1,,,,,,,,
98855,6033,4,,,,,,,,
98856,2612,1,,,,,,,,
98857,3534,2,,,,,,,,
98858,1838,1,,,,,,,,
98859,137,1,,,,,,,,
98860,214,1,,,,,,,,
98862,2605,1,,,,,,,,
98901,31425,21,,,,,,,,
98902,46728,32,,,,,,,,
98903,15404,10,,,,,,,,
98908,37004,25,,,,,,,,
98921,158,1,,,,,,,,
98922,7630,5,,,,,,,,
98923,1017,1,,,,,,,,
98925,477,1,,,,,,,,
98926,34893,24,,,,,,,,
98930,15263,10,,,,,,,,
98932,5442,3,,,,,,,,
98933,1018,1,,,,,,,,
98934,995,1,,,,,,,,
98935,4398,3,,,,,,,,
98936,6981,4,,,,,,,,
98937,4354,3,,,,,,,,
98938,2178,1,,,,,,,,
98939,67,1,,,,,,,,
98940,445,1,,,,,,,,
98941,608,1,,,,,,,,
98942,17454,12,,,,,,,,
98943,1032,1,,,,,,,,
98944,24949,17,,,,,,,,
98946,454,1,,,,,,,,
98947,3266,2,,,,,,,,
98948,12601,8,,,,,,,,
98950,33,1,,,,,,,,
98951,13473,9,,,,,,,,
98952,2125,1,,,,,,,,
